"""content""","""contenttype""","""created""","""id""","""language"""
"b'@_virginiavargas Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por\xe2\x80\xa6 https://t.co/ucj4oxyuFd'","""text/plain""",1579703669,1.21999E+18,"""es"""
"b'Compartimos el comunicado oficial de prensa de la Asociaci\xc3\xb3n Espa\xc3\xb1ola de Joyeros, Plateros y Relojeros (\xe2\x80\xa6 https://t.co/5cvgdMwqdD'","""text/plain""",1579695529,1.21996E+18,"""es"""
"b'@EminenciaCap @LaGata46196252 @20m Hola @EminenciaCap, te informamos que para esta informaci\xc3\xb3n, debes remitirte a l\xe2\x80\xa6 https://t.co/iSLiDNpvvh'","""text/plain""",1579693040,1.21995E+18,"""es"""
"b'@RubenSanchezTW Buenos d\xc3\xadas @RubenSanchezTW, gracias por escribirnos. Te informamos que para esta informaci\xc3\xb3n, debe\xe2\x80\xa6 https://t.co/IvtEYIkQwV'","""text/plain""",1579692880,1.21995E+18,"""es"""
b'La @ASOC_ES_JOYEROS sale en defensa de TOUS y alega que cumple la legislaci\xc3\xb3n espa\xc3\xb1ola de metales preciosos. El ele\xe2\x80\xa6 https://t.co/nHVsAPn794',"""text/plain""",1579690283,1.21994E+18,"""es"""
"b""@aboronatmiro @rosatous Bon dia @aboronatmiro, lamentem el que ens comentes i t'agra\xc3\xafm l'oportunitat que ens d\xc3\xb3nes\xe2\x80\xa6 https://t.co/2X7a3lWMOs""","""text/plain""",1579682239,1.2199E+18,"""es"""
b'@jasminasg @DafneFg1 @rosatous Buenos d\xc3\xadas @jasminasg. Lamentamos lo que nos comentas. Para poder gestionar tu cons\xe2\x80\xa6 https://t.co/8Uc24gb0My',"""text/plain""",1579635474,1.21971E+18,"""es"""
"b'@mayte8656 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por labora\xe2\x80\xa6 https://t.co/0xDdi6KAN1'","""text/plain""",1579635137,1.2197E+18,"""es"""
"b'@Ardid1 @todoesmentiratv Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certifica\xe2\x80\xa6 https://t.co/asVxqnuPmk'","""text/plain""",1579634913,1.2197E+18,"""es"""
"b'@Dadel_33 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por laborat\xe2\x80\xa6 https://t.co/hb0bCv5zrK'","""text/plain""",1579634828,1.2197E+18,"""es"""
